case;piece;position;algorithm
corners;;;
case 1;1_10_52;1_10_52;-
case 2;1_10_52;3_54_30;B'D'BDL'DL
case 3;1_10_52;9_28_21;R'L'DDRL
case 4;1_10_52;7_19_12;F'D'FBDB'
case 5;1_10_52;52_1_10;BD'B'L'D'L
case 6;1_10_52;30_3_54;B'DBL'DL
case 7;1_10_52;21_9_28;FL'DDLF'
case 8;1_10_52;12_7_19;LDDL'L'DL
case 9;1_10_52;10_52_1;L'D'LDL'D'L
case 10;1_10_52;54_30_3;B'DBDDL'D'L
case 11;1_10_52;28_21_9;R'D'BD'B'R
case 12;1_10_52;19_12_7;R'LD'RL'
case 13;1_10_52;46_16_43;LB'L'B
case 14;1_10_52;36_48_45;R'DR
case 15;1_10_52;27_34_39;L'DDL
case 16;1_10_52;18_25_37;DL'DDL
case 17;1_10_52;16_43_46;DBD'B'
case 18;1_10_52;48_45_36;DL'D'L
case 19;1_10_52;34_39_27;D'BD'B'
case 20;1_10_52;25_37_18;D'L'D'L
case 21;1_10_52;43_46_16;L'DLBDDB'
case 22;1_10_52;45_36_48;DL'DLBDDB'
case 23;1_10_52;39_27_34;DDL'DLBDDB'
case 24;1_10_52;37_18_25;D'L'DLBDDB'
;;;
case 25;3_54_30;1_10_52;U'F'D'FBDB'U
case 26;3_54_30;3_54_30;-
case 27;3_54_30;9_28_21;U'B'D'BDL'DLU
case 28;3_54_30;7_19_12;U'R'L'DDRLU
case 29;3_54_30;52_1_10;U'LDDL'L'DLU
case 30;3_54_30;30_3_54;U'BD'B'L'D'LU
case 31;3_54_30;21_9_28;U'B'DBL'DLU
case 32;3_54_30;12_7_19;U'FL'DDLF'U
case 33;3_54_30;10_52_1;U'R'LD'RL'U
case 34;3_54_30;54_30_3;U'L'D'LDL'D'LU
case 35;3_54_30;28_21_9;U'B'DBDDL'D'LU
case 36;3_54_30;19_12_7;U'R'D'BD'B'RU
case 37;3_54_30;46_16_43;U'DDL'DDLU
case 38;3_54_30;36_48_45;U'DLB'L'BU
case 39;3_54_30;27_34_39;U'DL'DLU
case 40;3_54_30;18_25_37;U'DL'DDLU
case 41;3_54_30;16_43_46;U'L'D'LU
case 42;3_54_30;48_45_36;U'DDBD'B'U
case 43;3_54_30;34_39_27;U'DDL'D'LU
case 44;3_54_30;25_37_18;U'DD'BD'B'U
case 45;3_54_30;43_46_16;U'L'DLBDDB'U
case 46;3_54_30;45_36_48;U'DL'DLBDDB'U
case 47;3_54_30;39_27_34;U'DDL'DLBDDB'U
case 48;3_54_30;37_18_25;U'D'L'DLBDDB'U
;;;
case 49;7_19_12;1_10_52;UB'D'BDL'DLU'
case 50;7_19_12;3_54_30;UR'L'DDRLU'
case 51;7_19_12;9_28_21;UF'D'FBDB'U'
case 52;7_19_12;7_19_12;-
case 53;7_19_12;52_1_10;UB'DBL'DLU'
case 54;7_19_12;30_3_54;UFL'DDLF'U'
case 55;7_19_12;21_9_28;ULDDL'L'DLU'
case 56;7_19_12;12_7_19;UBD'B'L'D'LU'
case 57;7_19_12;10_52_1;UB'DBDDL'D'LU'
case 58;7_19_12;54_30_3;UR'D'BD'B'RU'
case 59;7_19_12;28_21_9;UR'LD'RL'U'
case 60;7_19_12;19_12_7;UL'D'LDL'D'LU'
case 61;7_19_12;46_16_43;UD'R'DRU'
case 62;7_19_12;36_48_45;UD'L'DDLU'
case 63;7_19_12;27_34_39;UL'DDLU'
case 64;7_19_12;18_25_37;UD'LB'L'BU'
case 65;7_19_12;16_43_46;UL'D'LU
case 66;7_19_12;48_45_36;UD'D'BD'B'U'
case 67;7_19_12;34_39_27;UD'D'L'D'LU'
case 68;7_19_12;25_37_18;UBD'B'U'
case 69;7_19_12;43_46_16;UL'DLBDDB'U'
case 70;7_19_12;45_36_48;UDL'DLBDDB'U'
case 71;7_19_12;39_27_34;UD'D'L'DLBDDB'U'
case 72;7_19_12;37_18_25;UD'L'DLBDDB'U'
;;;
case 73;9_28_21;1_10_52;U'U'R'L'DDRLUU
case 74;9_28_21;3_54_30;U'U'F'D'FBDB'UU
case 75;9_28_21;9_28_21;-
case 76;9_28_21;7_19_12;U'U'B'D'BDL'DLUU
case 77;9_28_21;52_1_10;U'U'FL'DDLF'UU
case 78;9_28_21;30_3_54;U'U'LDDL'L'DLUU
case 79;9_28_21;21_9_28;U'U'BD'B'L'D'LUU
case 80;9_28_21;12_7_19;U'U'B'DBL'DLUU
case 81;9_28_21;10_52_1;U'U'R'D'BD'B'RUU
case 82;9_28_21;54_30_3;U'U'R'LD'RL'UU
case 83;9_28_21;28_21_9;U'U'L'D'LDL'D'LUU
case 84;9_28_21;19_12_7;U'U'B'DBDDL'D'LUU
case 85;9_28_21;46_16_43;U'U'DDL'DDLUU
case 86;9_28_21;36_48_45;U'U'DDDL'DDLUU
case 87;9_28_21;27_34_39;U'U'DDLB'L'BUU
case 88;9_28_21;18_25_37;U'U'DDR'DRUU
case 89;9_28_21;16_43_46;U'U'DDD'BD'B'UU
case 90;9_28_21;48_45_36;U'U'DDD'L'D'LUU
case 91;9_28_21;34_39_27;U'U'DDDBD'B'UU
case 92;9_28_21;25_37_18;U'U'DDDL'D'LUU
case 93;9_28_21;43_46_16;U'U'L'DLBDDB'UU
case 94;9_28_21;45_36_48;U'U'DDD'L'DLBDDB'UU
case 95;9_28_21;39_27_34;U'U'DDL'DLBDDB'UU
case 96;9_28_21;37_18_25;U'U'DDDL'DLBDDB'UU
;;;
edges;;;
case 1;24_31;24_31;-
case 2;24_31;15_22;LDL'D'F'D'FDR'DRDFD'F'
case 3;24_31;13_49;L'DLDBD'B'D'R'DRDFD'F'
case 4;24_31;33_51;RD'R'D'B'DBD'R'DRDFD'F'
case 5;24_31;17_40;R'DRDFD'F'
case 6;24_31;26_38;D'R'DRDFD'F'
case 7;24_31;35_42;DDR'DRDFD'F'
case 8;24_31;44_47;FD'F'D'R'DR
case 9;24_31;31_24;R'DRDFD'F'DR'DRDFD'F'
case 10;24_31;22_15;FFDDFFDDFF
case 11;24_31;49_13;L'DLDBD'B'D'D'FD'F'D'R'DR
case 12;24_31;51_33;RRDDRRDDRR
